Snapshot 162000 saved, average loss: 73.9471709824, average time: 1.66196794856                                                                           
Snapshot 164000 saved, average loss: 74.3353479328, average time: 1.74542510951                                                                           
Snapshot 166000 saved, average loss: 74.0181903229, average time: 1.74840997899                                                                           
Snapshot 168000 saved, average loss: 73.6171528816, average time: 1.73673805106                                                                           
Snapshot 170000 saved, average loss: 73.7078833179, average time: 1.70203570139                                                                           
Snapshot 172000 saved, average loss: 74.3606087112, average time: 1.7835844115                                                                            
Snapshot 174000 saved, average loss: 74.0610345745, average time: 1.623237275                                                                             
Snapshot 176000 saved, average loss: 74.0371464558, average time: 1.70488629603

Snapshot 180000 saved, average loss: 74.0270662289, average time: 1.59436908293                                                                           
Snapshot 182000 saved, average loss: 73.4357061234, average time: 1.74491433597                                                                           
Snapshot 184000 saved, average loss: 73.5123412495, average time: 1.76308756053                                                                           
Snapshot 186000 saved, average loss: 73.1296901989, average time: 1.82148531103                                                                           
Snapshot 188000 saved, average loss: 73.6355898952, average time: 1.66992336798                                                                           
Snapshot 190000 saved, average loss: 73.8299731445, average time: 1.72561529303                                                                           
Snapshot 192000 saved, average loss: 73.8866955376, average time: 1.57182242548                                                                           
Snapshot 194000 saved, average loss: 73.5005889702, average time: 1.60184089351                                                                           
Snapshot 196000 saved, average loss: 73.84562817, average time: 1.58418620944                                                                             
Snapshot 198000 saved, average loss: 73.5258574657, average time: 1.8163483125                                                                            
Snapshot 200000 saved, average loss: 73.5348775558, average time: 1.63929192007                                                                           
Snapshot 202000 saved, average loss: 73.3266576462, average time: 1.76907779551                                                                           
Snapshot 204000 saved, average loss: 73.6100299835, average time: 1.5976957165                                                                            
Snapshot 206000 saved, average loss: 73.7591278648, average time: 1.68403260648                                                                           
Snapshot 208000 saved, average loss: 73.4645877991, average time: 1.65197351098                                                                           
Snapshot 210000 saved, average loss: 73.5439599819, average time: 1.67465571654                                                                           
Snapshot 212000 saved, average loss: 73.3297839069, average time: 1.86572999549                                                                           
Snapshot 214000 saved, average loss: 73.4605571918, average time: 1.74918391299                                                                           
Snapshot 216000 saved, average loss: 73.4638248959, average time: 1.642261078                                                                             
Snapshot 218000 saved, average loss: 73.2352857323, average time: 1.67108742595                                                                           
Snapshot 220000 saved, average loss: 73.3198939133, average time: 1.68304066801                                                                           
Snapshot 222000 saved, average loss: 73.2031948624, average time: 1.73401784754                                                                           
Snapshot 224000 saved, average loss: 73.176580225, average time: 1.68741188896                                                                            
Snapshot 226000 saved, average loss: 73.3113052387, average time: 1.62196464705                                                                           
Snapshot 228000 saved, average loss: 73.1972705212, average time: 1.72464120352                                                                           
Snapshot 230000 saved, average loss: 73.2960195236, average time: 1.70993135297                                                                           
Snapshot 232000 saved, average loss: 73.0364985981, average time: 1.71894329798                                                                           
Snapshot 234000 saved, average loss: 73.1358260498, average time: 1.59176078153                                                                           
Snapshot 236000 saved, average loss: 73.1400985394, average time: 1.58708981705

Snapshot 238000 saved, average loss: 73.0164777203, average time: 1.72841187644                                                                           
Snapshot 240000 saved, average loss: 73.3094682274, average time: 1.59756014204                                                                           
Snapshot 242000 saved, average loss: 72.9564383183, average time: 1.68550747848                                                                           
Snapshot 244000 saved, average loss: 73.1963812084, average time: 1.73460613048                                                                           
Snapshot 246000 saved, average loss: 73.0383739014, average time: 1.78316327953                                                                           
Snapshot 248000 saved, average loss: 73.0655558281, average time: 1.73455980253                                                                           
Snapshot 250000 saved, average loss: 73.3723103466, average time: 1.85860972595                                                                           
Snapshot 252000 saved, average loss: 73.1960234318, average time: 1.67253315496                                                                           
Snapshot 254000 saved, average loss: 72.6988004742, average time: 1.63959895504                                                                           
Snapshot 256000 saved, average loss: 72.8739578228, average time: 1.745508937                                                                             
Snapshot 258000 saved, average loss: 72.8713241577, average time: 1.90642518795                                                                           
